tconst,titleType,year,primaryTitle,originalTitle,runtimeMinutes,genres,averageRating,numVotes
tt0111161,movie,1994,The Shawshank Redemption,The Shawshank Redemption,142,Drama,9.3,2203956
tt0468569,movie,2008,The Dark Knight,The Dark Knight,152,"Action,Crime,Drama",9.0,2184629
tt1375666,movie,2010,Inception,Inception,148,"Action,Adventure,Sci-Fi",8.8,1933557
tt0137523,movie,1999,Fight Club,Fight Club,139,Drama,8.8,1759843
tt0110912,movie,1994,Pulp Fiction,Pulp Fiction,154,"Crime,Drama",8.9,1731665
tt0109830,movie,1994,Forrest Gump,Forrest Gump,142,"Drama,Romance",8.8,1701174
tt0133093,movie,1999,The Matrix,The Matrix,136,"Action,Sci-Fi",8.7,1586697
tt0120737,movie,2001,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,178,"Action,Adventure,Drama",8.8,1577818
tt0167260,movie,2003,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,201,"Adventure,Drama,Fantasy",8.9,1565850
tt0068646,movie,1972,The Godfather,The Godfather,175,"Crime,Drama",9.2,1518407
tt1345836,movie,2012,The Dark Knight Rises,The Dark Knight Rises,164,"Action,Adventure",8.4,1446055
tt0167261,movie,2002,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,179,"Adventure,Drama,Fantasy",8.7,1413828
tt0816692,movie,2014,Interstellar,Interstellar,169,"Adventure,Drama,Sci-Fi",8.6,1386459
tt0114369,movie,1995,Se7en,Se7en,127,"Crime,Drama,Mystery",8.6,1357992
tt1853728,movie,2012,Django Unchained,Django Unchained,165,"Drama,Western",8.4,1276767
tt0172495,movie,2000,Gladiator,Gladiator,155,"Action,Adventure,Drama",8.5,1272235
tt0372784,movie,2005,Batman Begins,Batman Begins,140,"Action,Adventure",8.2,1247130
tt0848228,movie,2012,The Avengers,The Avengers,143,"Action,Adventure,Sci-Fi",8.0,1221476
tt0102926,movie,1991,The Silence of the Lambs,The Silence of the Lambs,118,"Crime,Drama,Thriller",8.6,1196335
tt0361748,movie,2009,Inglourious Basterds,Inglourious Basterds,153,"Adventure,Drama,War",8.3,1190317
tt0076759,movie,1977,Star Wars: Episode IV - A New Hope,Star Wars,121,"Action,Adventure,Fantasy",8.6,1177366
tt0120815,movie,1998,Saving Private Ryan,Saving Private Ryan,169,"Drama,War",8.6,1168953
tt0108052,movie,1993,Schindler's List,Schindler's List,195,"Biography,Drama,History",8.9,1149917
tt0407887,movie,2006,The Departed,The Departed,151,"Crime,Drama,Thriller",8.5,1126979
tt0482571,movie,2006,The Prestige,The Prestige,130,"Drama,Mystery,Sci-Fi",8.5,1117958
tt0080684,movie,1980,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,124,"Action,Adventure,Fantasy",8.7,1105417
tt0993846,movie,2013,The Wolf of Wall Street,The Wolf of Wall Street,180,"Biography,Crime,Drama",8.2,1097544
tt0499549,movie,2009,Avatar,Avatar,162,"Action,Adventure,Fantasy",7.8,1081881
tt0120689,movie,1999,The Green Mile,The Green Mile,189,"Crime,Drama,Fantasy",8.6,1075775
tt0209144,movie,2000,Memento,Memento,113,"Mystery,Thriller",8.4,1070451
tt0071562,movie,1974,The Godfather: Part II,The Godfather: Part II,202,"Crime,Drama",9.0,1063734
tt1130884,movie,2010,Shutter Island,Shutter Island,138,"Mystery,Thriller",8.1,1059589
tt0169547,movie,1999,American Beauty,American Beauty,122,Drama,8.3,1026185
